DCRSRVCCT201	
10.1.161.150	DynaLog
DCRSRVCCT201 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.1.161.150	W3SVC
10.1.161.150	WAS
DCRSRVCCT202	
10.1.161.151	MSSQLFDLauncher	
10.1.161.151	"SQLsafe Backup Service"
10.1.161.151	"SQLsafe Filter Service"
10.1.161.151	SQLSafeOLRService
10.1.161.151	MSSQLSERVER
10.1.161.151	SQLSERVERAGENT
10.1.161.151	SQLTELEMETRY
10.1.161.151	"SQL Server Distributed Replay Client"
10.1.161.151	"SQL Server Distributed Replay Controller"
10.1.161.151	MsDtsServer110
10.1.161.151	MsDtsServer150
10.1.161.151	SSISTELEMETRY150
10.1.161.151	SQLWriter
DCRSRVCCT203	
10.1.161.152	DynaLog
DCRSRVCCT211 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.1.161.63	W3SVC
10.1.161.63	WAS
DCRSRVCCT212	
10.1.161.64	"SQLsafe Backup Service"
10.1.161.64	"SQLsafe Filter Service"
10.1.161.64	SQLSafeOLRService
10.1.161.64	MSSQLSERVER
10.1.161.64	SQLSERVERAGENT
10.1.161.64	SQLTELEMETRY
10.1.161.64	SQLWriter
DCRSRVCCT301 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.1.161.65	W3SVC
10.1.161.65	WAS
