STGSRVCCT201	
10.193.64.50	DynaLog
10.193.64.50	MSSQLFDLauncher	
10.193.64.50	"SQLsafe Backup Service"
10.193.64.50	"SQLsafe Filter Service"
10.193.64.50	SQLSafeOLRService
10.193.64.50	MSSQLSERVER
10.193.64.50	SQLSERVERAGENT
10.193.64.50	SQLTELEMETRY
10.193.64.50	"SQL Server Distributed Replay Client"
10.193.64.50	"SQL Server Distributed Replay Controller"
10.193.64.50	MsDtsServer150
10.193.64.50	SSISTELEMETRY150
10.193.64.50	SQLWriter
STGSRVCCT201 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.193.64.50	W3SVC
10.193.64.50	WAS
STGSRVCCT203	
10.193.64.51	DynaLog
