MCRSRVJPX301	
10.194.10.50	EVERI-JackpotXpress-CleanArchive
10.194.10.50	EVERI-JackpotXpress-JackpotPoller
10.194.10.50	EVERI-JackpotXpress-TaskRunner
MCRSRVJPX301 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.194.10.50	W3SVC
10.194.10.50	WAS
MCRSRVJPX302	
10.194.10.51	"SQLsafe Backup Service"
10.194.10.51	"SQLsafe Filter Service"
10.194.10.51	SQLSafeOLRService
10.194.10.51	MSSQLSERVER
10.194.10.51	SQLSERVERAGENT
10.194.10.51	SQLTELEMETRY
10.194.10.51	SQLServerReportingServices
10.194.10.51	SQLWriter
MCRSRVKSK201	
10.194.10.41	ReportServ2021
10.194.10.41	ReportServ2022
10.194.10.41	ReportServAgent
10.194.10.41	MSSQLSERVER
10.194.10.41	SQLSERVERAGENT
10.194.10.41	SQLTELEMETRY
10.194.10.41	ReportServer
10.194.10.41	SQLWriter
MCRSRVKSK201 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.194.10.41	W3SVC
10.194.10.41	WAS
