PCRSRVDIS301	
10.192.76.240	"CIS FM Security Service"
10.192.76.240	"CIS FMDB Messenger Service"
10.192.76.240	"CIS FMDB PDA Service"
10.192.76.240	"CIS FMDB TIMS Service"
10.192.76.240	"CIS TIMS Security Service"
10.192.76.240	MSSQLSERVER
10.192.76.240	SQLSERVERAGENT
10.192.76.240	SQLTELEMETRY
10.192.76.240	SQLWriter
10.192.76.240	"XML Export Service"
PCRSRVMEI301	
10.192.64.21	EasiTraxService
10.192.64.21	MSSQL$SQLEXPRESS
10.192.64.21	SQLBrowser
10.192.64.21	SQLWriter
PCRSRVMEI301 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.192.64.21	W3SVC
10.192.64.21	WAS
PCRSRVOWAP201	
10.192.121.123	BallyTech.Progressive.LoggingService.exe
10.192.121.123	ServiceMonitor.exe
10.192.121.123	SHFL.Progressive.GameManager.Client.Service.exe
10.192.121.123	ShuffleMaster.Progressive.GM.PrintReportsService.exe
10.192.121.123	MSSQLSERVER
10.192.121.123	SQLSERVERAGENT
10.192.121.123	SQLTELEMETRY
10.192.121.123	MsDtsServer130
10.192.121.123	SSISTELEMETRY130
10.192.121.123	ReportServer
10.192.121.123	SQLWriter
PCRSRVOWAP201 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.192.121.123	W3SVC
10.192.121.123	WAS
