SCRSRVDIS301	
10.193.10.240	"CIS FM Security Service"
10.193.10.240	"CIS FMDB Messenger Service"
10.193.10.240	"CIS FMDB TIMS Service"
10.193.10.240	"CIS TIMS Security Service"
10.193.10.240	MSSQLSERVER
10.193.10.240	SQLSERVERAGENT
10.193.10.240	SQLTELEMETRY
10.193.10.240	SQLWriter
10.193.10.240	"XML Export Service"
SCRSRVMEI301	
10.193.0.23	EasiTraxService
10.193.0.23	MSSQL$SQLEXPRESS
10.193.0.23	SQLBrowser
10.193.0.23	SQLWriter
SCRSRVMEI301 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.193.0.23	W3SVC
10.193.0.23	WAS
