STGSRVDIS301	
10.193.65.240	"CIS FM Security Service"
10.193.65.240	"CIS FMDB Messenger Service"
10.193.65.240	"CIS FMDB TIMS Service"
10.193.65.240	"CIS TIMS Security Service"
10.193.65.240	MSSQLSERVER
10.193.65.240	SQLSERVERAGENT
10.193.65.240	SQLTELEMETRY
10.193.65.240	SQLWriter
10.193.65.240	"XML Export Service"
STGSRVMEI401	
10.193.64.30	EasiTraxService
10.193.64.30	MSSQL$SQLEXPRESS
10.193.64.30	SQLBrowser
10.193.64.30	SQLWriter
STGSRVMEI401 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.193.64.30	W3SVC
10.193.64.30	WAS
