DCESRVVIZ201	
10.1.165.20	Apache2.4
10.1.165.20	JBAS7
10.1.165.20	JBAS7BETA
10.1.165.20	VizFlow
DCESRVVIZ202	
10.1.165.21	"SQLsafe Backup Service"
10.1.165.21	"SQLsafe Filter Service"
10.1.165.21	SQLSafeOLRService
10.1.165.21	SQLSERVERAGENT
10.1.165.21	SQLTELEMETRY
10.1.165.21	MSSQLSERVER
10.1.165.21	MsDtsServer110
10.1.165.21	MsDtsServer130
10.1.165.21	SSISTELEMETRY130
10.1.165.21	ReportServer
10.1.165.21	SQLWriter
10.1.165.21	SQLDIAG
DCESRVVIZ203	
10.1.165.24	VizExplorer-Apache-HTTPd
10.1.165.24	VizExplorer-RethinkDB
10.1.165.24	VizExplorer-VizFlow
10.1.165.24	VizExplorer-Wildfly
DCESRVVIZ204	
10.1.165.22	Apache2.4forVizExplorer
10.1.165.22	JBAS7 
10.1.165.22	MSSQL$SQLEXPRESS                     
10.1.165.22	MSSQLFDLauncher$SQLEXPRESS
10.1.165.22	ReportServer$SQLEXPRESS       
10.1.165.22	SQLWriter
DCESRVVIZ205	
10.1.165.23	Apache2.4
10.1.165.23	JBAS7
DCESRVVIZ206	
10.1.165.25	"Caution shows server is online. Linux server"
DCESRVVIZ207	
10.1.165.30	"Caution shows server is online. Linux server"
