#TYPE Selected.System.ServiceProcess.ServiceController,,,,
MachineName,Name,DisplayName,Priority,IIS
BCRSRVSMC401.choctawcasinos.local,ATI.SpeedMedia.Cache.Service,ATI.SpeedMedia.Cache.Service,0,0
BCRSRVSMC402.choctawcasinos.local,ATI.SpeedMedia.Cache.Service,ATI.SpeedMedia.Cache.Service,0,0
ICRSRVSMC401.choctawcasinos.local,ATI.SpeedMedia.Cache.Service,ATI.SpeedMedia.Cache.Service,0,0
ITPSRVSMC401.choctawcasinos.local,ATI.SpeedMedia.Cache.Service,ATI.SpeedMedia.Cache.Service,0,0
BCRSRVSMA401.choctawcasinos.local,ATI.SpeedMedia.MidTier.Service,ATI.SpeedMedia.MidTier.Service,0,0
BCRSRVBLB401.choctawcasinos.local,ATI.CountInterface.Service,ATI.CountInterface.Service,0,0
BCRSRVBLB401.choctawcasinos.local,ATI.BlackBart.Service,ATI.BlackBart.Service,0,0
BCRSRVJPF401.choctawcasinos.local,ATI.Headcount.Service,ATI.Headcount.Service,0,0
BCRSRVJPF401.choctawcasinos.local,ATI.JackpotFill.Service,ATI.JackpotFill.Service,0,0
BCRSRVQKT401.choctawcasinos.local,ATI.Quickets.Service,ATI.Quickets.Service,0,0
BCRSRVGTW401.choctawcasinos.local,ATI.CashGateway.Service,ATI.CashGateway.Service,0,0
BCRSRVGTW403.choctawcasinos.local,ATI.NonCashGateway.Service,ATI.NonCashGateway.Service,0,0
BCRSRVGTW405.choctawcasinos.local,ATI.NonCashGateway.Service,ATI.NonCashGateway.Service,0,0
BCRSRVGTW403.choctawcasinos.local,ATI.Oasis.PitPrinter.Service,ATI.Oasis.PitPrinter.Service,0,0
BCRSRVPSC402.choctawcasinos.local,SchedulerService,ATI.Scheduler.Service,0,0
BCRSRVMMT401.choctawcasinos.local,ATI.Watchdog.Service,ATI.Watchdog.Service,1,0
BCRSRVPOL401.choctawcasinos.local,ATI.FloorLogix.Poller.Client.Service,ATI.FloorLogix.Poller.Client.Service,2,0
BCRSRVPOL402.choctawcasinos.local,ATI.FloorLogix.Poller.Client.Service,ATI.FloorLogix.Poller.Client.Service,2,0
BCRSRVMMT401.choctawcasinos.local,ATI.FloorLogix.Poller.MidTier.Service,ATI.FloorLogix.Poller.MidTier.Service,3,0
BCRSRVMMT402.choctawcasinos.local,ATI.FloorLogix.Poller.MidTier.Service,ATI.FloorLogix.Poller.MidTier.Service,3,0
BCRSRVMMT401.choctawcasinos.local,ATI.Meter.Service,ATI.Meter.Service,4,0
BCRSRVMMT402.choctawcasinos.local,ATI.Meter.Service,ATI.Meter.Service,4,0
BCRSRVPSC401.choctawcasinos.local,ATI.Settings.Service,ATI.Settings.Service,5,0
BCRSRVPSC402.choctawcasinos.local,ATI.Settings.Service,ATI.Settings.Service,5,0
BCRSRVPSC401.choctawcasinos.local,ATI.PatronBalance.Service,ATI.PatronBalance.Service,6,0
BCRSRVPSC402.choctawcasinos.local,ATI.PatronBalance.Service,ATI.PatronBalance.Service,6,0
BCRSRVPSC401.choctawcasinos.local,ATI.Patron.Service,ATI.Patron.Service,7,0
BCRSRVPSC402.choctawcasinos.local,ATI.Patron.Service,ATI.Patron.Service,7,0
BCRSRVNCN401.choctawcasinos.local,N/a,N/a,8,1
BCRSRVNCN402.choctawcasinos.local,N/a,N/a,8,1
BCRSRVNCN403.choctawcasinos.local,N/a,N/a,8,1
BCRSRVRMQ402.choctawcasinos.local,RabbitMQ,RabbitMQ,9,0
BCRSRVRMQ401.choctawcasinos.local,RabbitMQ,RabbitMQ,9,0
BCRSRVPSC401.choctawcasinos.local,ConfigurationService,ATI.Configuration.Service,10,0
BCRSRVPSC401.choctawcasinos.local,ATI.OASIS.Security.Service,ATI.OASIS.Security.Service,11,0
BCRSRVPSC402.choctawcasinos.local,ATI.OASIS.Security.Service,ATI.OASIS.Security.Service,11,0
