#TYPE Selected.System.ServiceProcess.ServiceController,,,,
MachineName,Name,DisplayName,Priority,IIS
DCRSRVBLB401.choctawcasinos.local,ATI.BlackBart.Service,ATI.BlackBart.Service,0,0
DCRSRVGTW401.choctawcasinos.local,ATI.CashGateway.Service,ATI.CashGateway.Service,0,0
DCRSRVGTW402.choctawcasinos.local,ATI.CashGateway.Service,ATI.CashGateway.Service,0,0
DCRSRVGTW404.choctawcasinos.local,ATI.CashGateway.Service,ATI.CashGateway.Service,0,0
DCRSRVGTW407.choctawcasinos.local,ATI.CashGateway.Service,ATI.CashGateway.Service,0,0
DCRSRVGTW408.choctawcasinos.local,ATI.CashGateway.Service,ATI.CashGateway.Service,0,0
DCRSRVGTW409.choctawcasinos.local,ATI.CashGateway.Service,ATI.CashGateway.Service,0,0
DCRSRVGTW410.choctawcasinos.local,ATI.CashGateway.Service,ATI.CashGateway.Service,0,0
DCRSRVGTW411.choctawcasinos.local,ATI.CashGateway.Service,ATI.CashGateway.Service,0,0
DCRSRVGTW412.choctawcasinos.local,ATI.CashGateway.Service,ATI.CashGateway.Service,0,0
DCRSRVGTW413.choctawcasinos.local,ATI.CashGateway.Service,ATI.CashGateway.Service,0,0
DCRSRVBLB401.choctawcasinos.local,ATI.CountInterface.Service,ATI.CountInterface.Service,0,0
DCRSRVJPF401.choctawcasinos.local,ATI.Headcount.Service,ATI.Headcount.Service,0,0
DCRSRVJPF401.choctawcasinos.local,ATI.JackpotFill.Service,ATI.JackpotFill.Service,0,0
DCRSRVGTW401.choctawcasinos.local,ATI.NonCashGateway.Service,ATI.NonCashGateway.Service,0,0
DCRSRVGTW403.choctawcasinos.local,ATI.NonCashGateway.Service,ATI.NonCashGateway.Service,0,0
DCRSRVGTW405.choctawcasinos.local,ATI.NonCashGateway.Service,ATI.NonCashGateway.Service,0,0
DCRSRVGTW403.choctawcasinos.local,ATI.Oasis.PitPrinter.Service,ATI.Oasis.PitPrinter.Service,0,0
DCRSRVQKT401.choctawcasinos.local,ATI.Quickets.Service,ATI.Quickets.Service,0,0
DCRSRVSMC401.choctawcasinos.local,ATI.SpeedMedia.Cache.Service,ATI.SpeedMedia.Cache.Service,0,0
DCRSRVSMC402.choctawcasinos.local,ATI.SpeedMedia.Cache.Service,ATI.SpeedMedia.Cache.Service,0,0
DCRSRVSMC403.choctawcasinos.local,ATI.SpeedMedia.Cache.Service,ATI.SpeedMedia.Cache.Service,0,0
DCRSRVSMC404.choctawcasinos.local,ATI.SpeedMedia.Cache.Service,ATI.SpeedMedia.Cache.Service,0,0
DCRSRVSMC405.choctawcasinos.local,ATI.SpeedMedia.Cache.Service,ATI.SpeedMedia.Cache.Service,0,0
DCRSRVSMC406.choctawcasinos.local,ATI.SpeedMedia.Cache.Service,ATI.SpeedMedia.Cache.Service,0,0
DCRSRVSMA401.choctawcasinos.local,ATI.SpeedMedia.MidTier.Service,ATI.SpeedMedia.MidTier.Service,0,0
DCRSRVPSC402.choctawcasinos.local,SchedulerService,ATI.Scheduler.Service,0,0
DCRSRVMMT401.choctawcasinos.local,ATI.Watchdog.Service,ATI.Watchdog.Service,1,0
DCRSRVPOL401.choctawcasinos.local,ATI.FloorLogix.Poller.Client.Service,ATI.FloorLogix.Poller.Client.Service,2,0
DCRSRVPOL402.choctawcasinos.local,ATI.FloorLogix.Poller.Client.Service,ATI.FloorLogix.Poller.Client.Service,2,0
DCRSRVPOL403.choctawcasinos.local,ATI.FloorLogix.Poller.Client.Service,ATI.FloorLogix.Poller.Client.Service,2,0
DCRSRVPOL404.choctawcasinos.local,ATI.FloorLogix.Poller.Client.Service,ATI.FloorLogix.Poller.Client.Service,2,0
DCRSRVPMT401.choctawcasinos.local,ATI.FloorLogix.Poller.MidTier.Service,ATI.FloorLogix.Poller.MidTier.Service,3,0
DCRSRVPMT403.choctawcasinos.local,ATI.FloorLogix.Poller.MidTier.Service,ATI.FloorLogix.Poller.MidTier.Service,3,0
DCRSRVPMT402.choctawcasinos.local,ATI.FloorLogix.Poller.MidTier.Service,ATI.FloorLogix.Poller.MidTier.Service,3,0
DCRSRVPMT404.choctawcasinos.local,ATI.FloorLogix.Poller.MidTier.Service,ATI.FloorLogix.Poller.MidTier.Service,3,0
DCRSRVMMT401.choctawcasinos.local,ATI.Meter.Service,ATI.Meter.Service,4,0
DCRSRVMMT402.choctawcasinos.local,ATI.Meter.Service,ATI.Meter.Service,4,0
DCRSRVMMT403.choctawcasinos.local,ATI.Meter.Service,ATI.Meter.Service,4,0
DCRSRVMMT404.choctawcasinos.local,ATI.Meter.Service,ATI.Meter.Service,4,0
DCRSRVPSC401.choctawcasinos.local,ATI.Settings.Service,ATI.Settings.Service,5,0
DCRSRVPSC402.choctawcasinos.local,ATI.Settings.Service,ATI.Settings.Service,5,0
DCRSRVPSC402.choctawcasinos.local,ATI.PatronBalance.Service,ATI.PatronBalance.Service,6,0
DCRSRVPSC403.choctawcasinos.local,ATI.PatronBalance.Service,ATI.PatronBalance.Service,6,0
DCRSRVPSC404.choctawcasinos.local,ATI.PatronBalance.Service,ATI.PatronBalance.Service,6,0
DCRSRVPSC401.choctawcasinos.local,ATI.PatronBalance.Service,ATI.PatronBalance.Service,6,0
DCRSRVPSC404.choctawcasinos.local,ATI.Patron.Service,ATI.Patron.Service,7,0
DCRSRVPSC401.choctawcasinos.local,ATI.Patron.Service,ATI.Patron.Service,7,0
DCRSRVPSC403.choctawcasinos.local,ATI.Patron.Service,ATI.Patron.Service,7,0
DCRSRVPSC402.choctawcasinos.local,ATI.Patron.Service,ATI.Patron.Service,7,0
DCRSRVNCN401.choctawcasinos.local,N/a,N/a,8,1
DCRSRVNCN402.choctawcasinos.local,N/a,N/a,8,1
DCRSRVNCN403.choctawcasinos.local,N/a,N/a,8,1
DCRSRVNCN404.choctawcasinos.local,N/a,N/a,8,1
DCRSRVNCN405.choctawcasinos.local,N/a,N/a,8,1
DCRSRVNCN406.choctawcasinos.local,N/a,N/a,8,1
