#TYPE Selected.System.ServiceProcess.ServiceController,,,,
MachineName,Name,DisplayName,Priority,IIS
GCRSRVBLB401.choctawcasinos.local,ATI.BlackBart.Service,ATI.BlackBart.Service,0,0
GCRSRVBLB401.choctawcasinos.local,ATI.CountInterface.Service,ATI.CountInterface.Service,0,0
GCRSRVGTW401.choctawcasinos.local,ATI.CashGateway.Service,ATI.CashGateway.Service,0,0
GCRSRVGTW403.choctawcasinos.local,ATI.Oasis.PitPrinter.Service,ATI.Oasis.PitPrinter.Service,0,0
GCRSRVGTW403.choctawcasinos.local,ATI.NonCashGateway.Service,ATI.NonCashGateway.Service,0,0
GCRSRVGTW405.choctawcasinos.local,ATI.NonCashGateway.Service,ATI.NonCashGateway.Service,0,0
GCRSRVJPF401.choctawcasinos.local,ATI.Headcount.Service,ATI.Headcount.Service,0,0
GCRSRVJPF401.choctawcasinos.local,ATI.JackpotFill.Service,ATI.JackpotFill.Service,0,0
GCRSRVPSC402.choctawcasinos.local,SchedulerService,ATI.Scheduler.Service,0,0
GCRSRVQKT401.choctawcasinos.local,ATI.Quickets.Service,ATI.Quickets.Service,0,0
GCRSRVSMA401.choctawcasinos.local,ATI.SpeedMedia.MidTier.Service,ATI.SpeedMedia.MidTier.Service,0,0
GCRSRVSMC401.choctawcasinos.local,ATI.SpeedMedia.Cache.Service,ATI.SpeedMedia.Cache.Service,0,0
GCRSRVSMC402.choctawcasinos.local,ATI.SpeedMedia.Cache.Service,ATI.SpeedMedia.Cache.Service,0,0
ANTSRVSMC401.choctawcasinos.local,ATI.SpeedMedia.Cache.Service,ATI.SpeedMedia.Cache.Service,0,0
HGOSRVSMC401.choctawcasinos.local,ATI.SpeedMedia.Cache.Service,ATI.SpeedMedia.Cache.Service,0,0
GCRSRVMMT401.choctawcasinos.local,ATI.Watchdog.Service,ATI.Watchdog.Service,1,0
GCRSRVPOL401.choctawcasinos.local,ATI.FloorLogix.Poller.Client.Service,ATI.FloorLogix.Poller.Client.Service,2,0
GCRSRVPOL402.choctawcasinos.local,ATI.FloorLogix.Poller.Client.Service,ATI.FloorLogix.Poller.Client.Service,2,0
GCRSRVMMT401.choctawcasinos.local,ATI.FloorLogix.Poller.MidTier.Service,ATI.FloorLogix.Poller.MidTier.Service,3,0
GCRSRVMMT402.choctawcasinos.local,ATI.FloorLogix.Poller.MidTier.Service,ATI.FloorLogix.Poller.MidTier.Service,3,0
GCRSRVMMT401.choctawcasinos.local,ATI.Meter.Service,ATI.Meter.Service,4,0
GCRSRVMMT402.choctawcasinos.local,ATI.Meter.Service,ATI.Meter.Service,4,0
GCRSRVPSC401.choctawcasinos.local,ATI.Settings.Service,ATI.Settings.Service,5,0
GCRSRVPSC402.choctawcasinos.local,ATI.Settings.Service,ATI.Settings.Service,5,0
GCRSRVPSC401.choctawcasinos.local,ATI.PatronBalance.Service,ATI.PatronBalance.Service,6,0
GCRSRVPSC402.choctawcasinos.local,ATI.PatronBalance.Service,ATI.PatronBalance.Service,6,0
GCRSRVPSC401.choctawcasinos.local,ATI.Patron.Service,ATI.Patron.Service,7,0
GCRSRVPSC402.choctawcasinos.local,ATI.Patron.Service,ATI.Patron.Service,7,0
GCRSRVNCN401.choctawcasinos.local,N/a,N/a,8,1
GCRSRVNCN402.choctawcasinos.local,N/a,N/a,8,1
GCRSRVNCN403.choctawcasinos.local,N/a,N/a,8,1
GCRSRVRMQ401.choctawcasinos.local,RabbitMQ,RabbitMQ,9,0
GCRSRVRMQ402.choctawcasinos.local,RabbitMQ,RabbitMQ,9,0
GCRSRVRMQ403.choctawcasinos.local,RabbitMQ,RabbitMQ,9,0
GCRSRVPSC401.choctawcasinos.local,ConfigurationService,ATI.Configuration.Service,10,0
GCRSRVPSC401.choctawcasinos.local,ATI.OASIS.Security.Service,ATI.OASIS.Security.Service,11,0
GCRSRVPSC402.choctawcasinos.local,ATI.OASIS.Security.Service,ATI.OASIS.Security.Service,11,0
