#TYPE Selected.System.ServiceProcess.ServiceController,,,,
MachineName,Name,DisplayName,Priority,IIS
MCRSRVSMC402.choctawcasinos.local,ATI.SpeedMedia.Cache.Service,ATI.SpeedMedia.Cache.Service,0,0
MCRSRVSMC401.choctawcasinos.local,ATI.SpeedMedia.Cache.Service,ATI.SpeedMedia.Cache.Service,0,0
WCTSRVSMC401.choctawcasinos.local,ATI.SpeedMedia.Cache.Service,ATI.SpeedMedia.Cache.Service,0,0
MCRSRVSMA401.choctawcasinos.local,ATI.SpeedMedia.MidTier.Service,ATI.SpeedMedia.MidTier.Service,0,0
MCRSRVBLB401.choctawcasinos.local,ATI.CountInterface.Service,ATI.CountInterface.Service,0,0
MCRSRVBLB401.choctawcasinos.local,ATI.BlackBart.Service,ATI.BlackBart.Service,0,0
MCRSRVJPF401.choctawcasinos.local,ATI.Headcount.Service,ATI.Headcount.Service,0,0
MCRSRVJPF401.choctawcasinos.local,ATI.JackpotFill.Service,ATI.JackpotFill.Service,0,0
MCRSRVQKT401.choctawcasinos.local,ATI.Quickets.Service,ATI.Quickets.Service,0,0
MCRSRVGTW401.choctawcasinos.local,ATI.CashGateway.Service,ATI.CashGateway.Service,0,0
MCRSRVGTW405.choctawcasinos.local,ATI.NonCashGateway.Service,ATI.NonCashGateway.Service,0,0
MCRSRVPSC402.choctawcasinos.local,SchedulerService,ATI.Scheduler.Service,0,0
MCRSRVMMT401.choctawcasinos.local,ATI.Watchdog.Service,ATI.Watchdog.Service,1,0
MCRSRVPOL401.choctawcasinos.local,ATI.FloorLogix.Poller.Client.Service,ATI.FloorLogix.Poller.Client.Service,2,0
MCRSRVPOL402.choctawcasinos.local,ATI.FloorLogix.Poller.Client.Service,ATI.FloorLogix.Poller.Client.Service,2,0
MCRSRVMMT401.choctawcasinos.local,ATI.FloorLogix.Poller.MidTier.Service,ATI.FloorLogix.Poller.MidTier.Service,3,0
MCRSRVMMT402.choctawcasinos.local,ATI.FloorLogix.Poller.MidTier.Service,ATI.FloorLogix.Poller.MidTier.Service,3,0
MCRSRVMMT401.choctawcasinos.local,ATI.Meter.Service,ATI.Meter.Service,4,0
MCRSRVMMT402.choctawcasinos.local,ATI.Meter.Service,ATI.Meter.Service,4,0
MCRSRVPSC401.choctawcasinos.local,ATI.Settings.Service,ATI.Settings.Service,5,0
MCRSRVPSC402.choctawcasinos.local,ATI.Settings.Service,ATI.Settings.Service,5,0
MCRSRVPSC401.choctawcasinos.local,ATI.PatronBalance.Service,ATI.PatronBalance.Service,6,0
MCRSRVPSC402.choctawcasinos.local,ATI.PatronBalance.Service,ATI.PatronBalance.Service,6,0
MCRSRVPSC401.choctawcasinos.local,ATI.Patron.Service,ATI.Patron.Service,7,0
MCRSRVPSC402.choctawcasinos.local,ATI.Patron.Service,ATI.Patron.Service,7,0
MCRSRVNCN401.choctawcasinos.local,N/a,N/a,8,1
MCRSRVNCN402.choctawcasinos.local,N/a,N/a,8,1
MCRSRVNCN403.choctawcasinos.local,N/a,N/a,8,1
MCRSRVRMQ402.choctawcasinos.local,RabbitMQ,RabbitMQ,9,0
MCRSRVRMQ401.choctawcasinos.local,RabbitMQ,RabbitMQ,9,0
MCRSRVPSC401.choctawcasinos.local,ConfigurationService,ATI.Configuration.Service,10,0
MCRSRVPSC401.choctawcasinos.local,ATI.OASIS.Security.Service,ATI.OASIS.Security.Service,11,0
MCRSRVPSC402.choctawcasinos.local,ATI.OASIS.Security.Service,ATI.OASIS.Security.Service,11,0
