#TYPE Selected.System.ServiceProcess.ServiceController,,,,
MachineName,Name,DisplayName,Priority,IIS
PTPSRVSMC402.choctawcasinos.local,ATI.SpeedMedia.Cache.Service,ATI.SpeedMedia.Cache.Service,0,0
PTPSRVSMC401.choctawcasinos.local,ATI.SpeedMedia.Cache.Service,ATI.SpeedMedia.Cache.Service,0,0
PTPSRVSMA401.choctawcasinos.local,ATI.SpeedMedia.MidTier.Service,ATI.SpeedMedia.MidTier.Service,0,0
PTPSRVBLB401.choctawcasinos.local,ATI.CountInterface.Service,ATI.CountInterface.Service,0,0
PTPSRVBLB401.choctawcasinos.local,ATI.BlackBart.Service,ATI.BlackBart.Service,0,0
PTPSRVJPF401.choctawcasinos.local,ATI.Headcount.Service,ATI.Headcount.Service,0,0
PTPSRVJPF401.choctawcasinos.local,ATI.JackpotFill.Service,ATI.JackpotFill.Service,0,0
PTPSRVQKT401.choctawcasinos.local,ATI.Quickets.Service,ATI.Quickets.Service,0,0
PTPSRVGTW401.choctawcasinos.local,ATI.CashGateway.Service,ATI.CashGateway.Service,0,0
PTPSRVGTW405.choctawcasinos.local,ATI.NonCashGateway.Service,ATI.NonCashGateway.Service,0,0
PTPSRVPSC402.choctawcasinos.local,SchedulerService,ATI.Scheduler.Service,0,0
PTPSRVMMT401.choctawcasinos.local,ATI.Watchdog.Service,ATI.Watchdog.Service,1,0
PTPSRVPOL401.choctawcasinos.local,ATI.FloorLogix.Poller.Client.Service,ATI.FloorLogix.Poller.Client.Service,2,0
PTPSRVPOL402.choctawcasinos.local,ATI.FloorLogix.Poller.Client.Service,ATI.FloorLogix.Poller.Client.Service,2,0
PTPSRVMMT401.choctawcasinos.local,ATI.FloorLogix.Poller.MidTier.Service,ATI.FloorLogix.Poller.MidTier.Service,3,0
PTPSRVMMT402.choctawcasinos.local,ATI.FloorLogix.Poller.MidTier.Service,ATI.FloorLogix.Poller.MidTier.Service,3,0
PTPSRVMMT401.choctawcasinos.local,ATI.Meter.Service,ATI.Meter.Service,4,0
PTPSRVMMT402.choctawcasinos.local,ATI.Meter.Service,ATI.Meter.Service,4,0
PTPSRVPSC401.choctawcasinos.local,ATI.Settings.Service,ATI.Settings.Service,5,0
PTPSRVPSC402.choctawcasinos.local,ATI.Settings.Service,ATI.Settings.Service,5,0
PTPSRVPSC401.choctawcasinos.local,ATI.PatronBalance.Service,ATI.PatronBalance.Service,6,0
PTPSRVPSC402.choctawcasinos.local,ATI.PatronBalance.Service,ATI.PatronBalance.Service,6,0
PTPSRVPSC401.choctawcasinos.local,ATI.Patron.Service,ATI.Patron.Service,7,0
PTPSRVPSC402.choctawcasinos.local,ATI.Patron.Service,ATI.Patron.Service,7,0
PTPSRVNCN401.choctawcasinos.local,N/a,N/a,8,1
PTPSRVNCN402.choctawcasinos.local,N/a,N/a,8,1
PTPSRVNCN403.choctawcasinos.local,N/a,N/a,8,1
PTPSRVRMQ402.choctawcasinos.local,RabbitMQ,RabbitMQ,9,0
PTPSRVRMQ401.choctawcasinos.local,RabbitMQ,RabbitMQ,9,0
PTPSRVPSC401.choctawcasinos.local,ConfigurationService,ATI.Configuration.Service,10,0
PTPSRVPSC401.choctawcasinos.local,ATI.OASIS.Security.Service,ATI.OASIS.Security.Service,11,0
PTPSRVPSC402.choctawcasinos.local,ATI.OASIS.Security.Service,ATI.OASIS.Security.Service,11,0
