Priority-0	
PCRPLBPRM302.choctawcasinos.local	SchedulerService
PCRPLBPRM303.choctawcasinos.local	ATI.BlackBart.Service
PCRPLBPRM303.choctawcasinos.local	ATI.CountInterface.Service
PCRPLBPRM303.choctawcasinos.local	ATI.CashGateway.Service
PCRPLBPRM303.choctawcasinos.local	ATI.Oasis.PitPrinter.Service
PCRPLBPRM303.choctawcasinos.local	ATI.NonCashGateway.Service
PCRPLBPRM303.choctawcasinos.local	ATI.Headcount.Service
PCRPLBPRM303.choctawcasinos.local	ATI.JackpotFill.Service
PCRPLBPRM303.choctawcasinos.local	ATI.Quickets.Service
PCRPLBPRM303.choctawcasinos.local	ATI.SpeedMedia.MidTier.Service
PCRPLBPRM303.choctawcasinos.local	ATI.SpeedMedia.Cache.Service
Priority-1	
PCRPLBMMT301.choctawcasinos.local	ATI.Watchdog.Service
Priority-2	
PCRPLBPRM301.choctawcasinos.local	ATI.FloorLogix.Poller.Client.Service
PCRPLBPRM302.choctawcasinos.local	ATI.FloorLogix.Poller.Client.Service
Priority-3	
PCRPLBMMT301.choctawcasinos.local	ATI.FloorLogix.Poller.MidTier.Service
PCRPLBMMT302.choctawcasinos.local	ATI.FloorLogix.Poller.MidTier.Service
Priority-4	
PCRPLBMMT301.choctawcasinos.local	ATI.Meter.Service
PCRPLBMMT302.choctawcasinos.local	ATI.Meter.Service
Priority-5	
PCRPLBPRM301.choctawcasinos.local	ATI.Settings.Service
PCRPLBPRM302.choctawcasinos.local	ATI.Settings.Service
Priority-6	
PCRPLBPRM301.choctawcasinos.local	ATI.PatronBalance.Service
PCRPLBPRM302.choctawcasinos.local	ATI.PatronBalance.Service
Priority-7	
PCRPLBPRM301.choctawcasinos.local	ATI.Patron.Service
PCRPLBPRM302.choctawcasinos.local	ATI.Patron.Service
Priority-8	
PCRPLBNCN301.choctawcasinos.local	IIS
PCRPLBNCN302.choctawcasinos.local	IIS
Priority-9	
PCRPLBRMQ301.choctawcasinos.local	RabbitMQ
PCRPLBRMQ302.choctawcasinos.local	RabbitMQ
Priority-10	
PCRPLBPRM301.choctawcasinos.local	ConfigurationService
Priority-11	
PCRPLBPRM301.choctawcasinos.local	ATI.OASIS.Security.Service
PCRPLBPRM302.choctawcasinos.local	ATI.OASIS.Security.Service
