MCRSRVMMT401	
10.194.10.150	ATI.FloorLogix.Poller.MidTier.Service
10.194.10.150	ATI.Watchdog.Service
10.194.10.150	ATI.Meter.Service
MCRSRVMMT402	
10.194.10.151	ATI.FloorLogix.Poller.MidTier.Service
10.194.10.151	ATI.Meter.Service
MCRSRVPOL401	
10.194.10.160	ATI.FloorLogix.Poller.Client.Service
MCRSRVPOL402	
10.194.10.161	ATI.FloorLogix.Poller.Client.Service
MCRSRVNCN401 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.194.10.170	W3SVC	
10.194.10.170	WAS
MCRSRVNCN402 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.194.10.171	W3SVC	
10.194.10.171	WAS
MCRSRVNCN403 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.194.10.172	W3SVC	
10.194.10.172	WAS
MCRSRVJPF401	
10.194.10.125	ATI.JackpotFill.Service
10.194.10.125	ATI.Headcount.Service
MCRSRVBLB401	
10.194.10.115	ATI.BlackBart.Service
10.194.10.115	ATI.CountInterface.Service
MCRSRVQKT401	
10.194.10.118	ATI.Quickets.Service
MCRSRVPSC401	
10.194.10.140	ATI.Settings.Service
10.194.10.140	ConfigurationService
10.194.10.140	ATI.OASIS.Security.Service
10.194.10.140	ATI.Patron.Service
10.194.10.140	ATI.PatronBalance.Service
MCRSRVPSC402	
10.194.10.141	ATI.Settings.Service
10.194.10.141	SchedulerService
10.194.10.141	ATI.OASIS.Security.Service
10.194.10.141	ATI.Patron.Service
10.194.10.141	ATI.PatronBalance.Service
MCRSRVSMC401	
10.194.10.181	ATI.SpeedMedia.Cache.Service
MCRSRVSMC402	
10.194.10.183	ATI.SpeedMedia.Cache.Service
WCTSRVSMC401	
10.194.9.254	ATI.SpeedMedia.Cache.Service
MCRSRVSMA401	
10.194.10.180	ATI.SpeedMedia.MidTier.Service
MCRSRVSRS401	
10.194.10.214	"SQLsafe Backup Service"
10.194.10.214	"SQLsafe Filter Service"
10.194.10.214	SQLSafeOLRService
10.194.10.214	MSSQLSERVER
10.194.10.214	SQLSERVERAGENT
10.194.10.214	SQLServerReportingServices
10.194.10.214	SQLWriter
MCRSRVRMQ401	
10.194.10.130	RabbitMQ
10.194.10.130	LanmanWorkstation
10.194.10.130	nsi
10.194.10.130	RpcSs
10.194.10.130	DcomLaunch
10.194.10.130	RpcEptMapper
MCRSRVRMQ402	
10.194.10.131	RabbitMQ
10.194.10.131	LanmanWorkstation
10.194.10.131	nsi
10.194.10.131	RpcSs
10.194.10.131	DcomLaunch
10.194.10.131	RpcEptMapper
MCRSRVELK401	
10.194.10.117	elasticsearch-service-x64
10.194.10.117	kibana
10.194.10.117	logstash
MCRSRVODB401	
10.194.10.211	"SQLsafe Backup Service"
10.194.10.211	"SQLsafe Filter Service"
10.194.10.211	SQLSafeOLRService
10.194.10.211	MSSQLSERVER
10.194.10.211	SQLSERVERAGENT
10.194.10.211	SQLTELEMETRY
10.194.10.211	SSISTELEMETRY150
10.194.10.211	SQLWriter
MCRSRVODB402	
10.194.10.212	"SQLsafe Backup Service"
10.194.10.212	"SQLsafe Filter Service"
10.194.10.212	SQLSafeOLRService
10.194.10.212	MSSQLSERVER
10.194.10.212	SQLSERVERAGENT
10.194.10.212	SQLTELEMETRY
10.194.10.212	SSISTELEMETRY150
10.194.10.212	SQLWriter
