STGSRVMMT401	
10.193.65.150	ATI.FloorLogix.Poller.MidTier.Service
10.193.65.150	ATI.Watchdog.Service
10.193.65.150	ATI.Meter.Service		
STGSRVMMT402	
10.193.65.151	ATI.FloorLogix.Poller.MidTier.Service
10.193.65.151	ATI.Meter.Service		
STGSRVPOL401	
10.193.65.160	ATI.FloorLogix.Poller.Client.Service	
STGSRVPOL402	
10.193.65.161	ATI.FloorLogix.Poller.Client.Service
STGSRVNCN401 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.193.65.170	W3SVC
10.193.65.170	WAS
STGSRVNCN402 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.193.65.171	W3SVC
10.193.65.171	WAS
STGSRVNCN403 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.193.65.172	W3SVC
10.193.65.172	WAS
STGSRVJPF401	
10.193.65.125	ATI.JackpotFill.Service
10.193.65.125	ATI.Headcount.Service
STGSRVBLB401	
10.193.65.115	ATI.BlackBart.Service
10.193.65.115	ATI.CountInterface.Service	
STGSRVQKT401	
10.193.65.118	ATI.Quickets.Service
STGSRVPSC401	
10.193.65.140	ATI.Settings.Service
10.193.65.140	ConfigurationService
10.193.65.140	ATI.OASIS.Security.Service
10.193.65.140	ATI.Patron.Service
10.193.65.140	ATI.PatronBalance.Service
STGSRVPSC402	
10.193.65.141	ATI.Settings.Service
10.193.65.141	SchedulerService
10.193.65.141	ATI.OASIS.Security.Service
10.193.65.141	ATI.Patron.Service
10.193.65.141	ATI.PatronBalance.Service
STGSRVSMC401	
10.193.65.181	ATI.SpeedMedia.Cache.Service
STGSRVSMC402	
10.193.65.182	ATI.SpeedMedia.Cache.Service
STGSRVSMA401	
10.193.65.180	ATI.SpeedMedia.MidTier.Service
STGSRVSRS401	
10.193.65.214	"SQLsafe Backup Service"
10.193.65.214	"SQLsafe Filter Service"
10.193.65.214	SQLSafeOLRService
10.193.65.214	MSSQLSERVER
10.193.65.214	SQLSERVERAGENT
10.193.65.214	SQLServerReportingServices
10.193.65.214	SQLWriter
STGSRVRMQ401	
10.193.65.130	RabbitMQ
10.193.65.130	LanmanWorkstation
10.193.65.130	nsi
10.193.65.130	RpcSs
10.193.65.130	DcomLaunch
10.193.65.130	RpcEptMapper
STGSRVRMQ402	
10.193.65.131	RabbitMQ
10.193.65.131	LanmanWorkstation
10.193.65.131	nsi
10.193.65.131	RpcSs
10.193.65.131	DcomLaunch
10.193.65.131	RpcEptMapper
STGSRVELK401	
10.193.65.117	elasticsearch-service-x64
10.193.65.117	kibana
10.193.65.117	logstash
STGSRVODB401	
10.193.65.211	"SQLsafe Backup Service"
10.193.65.211	"SQLsafe Filter Service"
10.193.65.211	SQLSafeOLRService
10.193.65.211	MSSQLSERVER
10.193.65.211	SQLSERVERAGENT
10.193.65.211	SQLWriter
STGSRVODB402	
10.193.65.212	"SQLsafe Backup Service"
10.193.65.212	"SQLsafe Filter Service"
10.193.65.212	SQLSafeOLRService
10.193.65.212	MSSQLSERVER
10.193.65.212	SQLSERVERAGENT
10.193.65.212	SQLWriter
