PTPSRVCCT201	
10.193.68.54	DynaLog
10.193.68.54	MSSQLFDLauncher	
10.193.68.54	"SQLsafe Backup Service"
10.193.68.54	"SQLsafe Filter Service"
10.193.68.54	SQLSafeOLRService
10.193.68.54	MSSQLSERVER
10.193.68.54	SQLSERVERAGENT
10.193.68.54	SQLTELEMETRY
10.193.68.54	"SQL Server Distributed Replay Client"
10.193.68.54	"SQL Server Distributed Replay Controller"
10.193.68.54	MsDtsServer150
10.193.68.54	SSISTELEMETRY150
10.193.68.54	SQLWriter
PTPSRVCCT201 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.193.68.54	W3SVC
10.193.68.54	WAS
PTPSRVCCT203	
10.193.68.55	DynaLog
