PCRSRVJPX301	
10.192.76.41	EVERI-JackpotXpress-CleanArchive
10.192.76.41	EVERI-JackpotXpress-JackpotPoller
10.192.76.41	EVERI-JackpotXpress-TaskRunner
PCRSRVJPX301 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.192.76.41	W3SVC
10.192.76.41	WAS
PCRSRVJPX302	
10.192.76.42	"SQLsafe Backup Service"
10.192.76.42	"SQLsafe Filter Service"
10.192.76.42	SQLSafeOLRService
10.192.76.42	MSSQLSERVER
10.192.76.42	SQLSERVERAGENT
10.192.76.42	SQLTELEMETRY
10.192.76.42	SQLServerReportingServices
10.192.76.42	SQLWriter
PCRSRVKSK301	
10.192.64.202	ReportServ$2021
10.192.64.202	ReportServ$2022
10.192.64.202	ReportServ$2023
10.192.64.202	ReportServAgent
10.192.64.202	XPRO
PCRSRVKSK301 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.192.64.202	W3SVC
10.192.64.202	WAS
PCRSRVKSK302	
10.192.64.203	MSSQLSERVER
10.192.64.203	SQLSERVERAGENT
10.192.64.203	SQLTELEMETRY
10.192.64.203	SQLServerReportingServices
10.192.64.203	SQLWriter
