DCESRVHLO201	
10.1.37.100	Delivery_Service_Instance_1
10.1.37.100	Patron_Logix_Instance_1
10.1.37.100	Patron_Logix_Instance_2
10.1.37.100	Patron_Logix_Instance_3
10.1.37.100	Patron_Logix_Instance_4
10.1.37.100	Patron_Logix_Instance_5
10.1.37.100	Patron_Logix_Instance_6
10.1.37.100	Patron_Logix_Instance_7
10.1.37.100	Patron_Logix_Instance_8
10.1.37.100	Service_Monitor_Instance
DCESRVHLO202 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.1.37.101	W3SVC
10.1.37.101	WAS
DCESRVHLO203 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.1.37.102	W3SVC
10.1.37.102	WAS
DCESRVHLO204 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.1.37.103	W3SVC
10.1.37.103	WAS
DCESRVHLO205 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.1.37.104	W3SVC
10.1.37.104	WAS
DCESRVHLO206	
10.1.37.105	Rewards_Service_Instance_1
10.1.37.105	Rewards_Service_Instance_2
10.1.37.105	Rewards_Service_Instance_3
10.1.37.105	Rewards_Service_Instance_4
10.1.37.105	Rewards_Service_Instance_5
10.1.37.105	Rewards_Service_Instance_6
10.1.37.105	Rewards_Service_Instance_7
10.1.37.105	Rewards_Service_Instance_8
10.1.37.105	RewardsP_Service_Instance_1
10.1.37.105	RewardsP_Service_Instance_2
10.1.37.105	RewardsP_Service_Instance_3
10.1.37.105	RewardsP_Service_Instance_4
10.1.37.105	RewardsP_Service_Instance_5
10.1.37.105	RewardsP_Service_Instance_6
10.1.37.105	RewardsP_Service_Instance_7
10.1.37.105	RewardsP_Service_Instance_8
DCESRVHLO208	
10.1.37.107	UniMerge_Service_Instance
10.1.37.107	Synchronizer_Service_Instance_1
DCESRVHLO208 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.1.37.107	W3SVC
10.1.37.107	WAS
DCESRVHLO209	
10.1.37.108	ReportServer
DCESRVHLO210 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.1.37.117	W3SVC
10.1.37.117	WAS
DCESRVHLO211 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.1.37.118	W3SVC
10.1.37.118	WAS
DCESRVHLO212 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.1.37.116	W3SVC
10.1.37.116	WAS
DCESRVHDB301	
10.1.37.120	"SQLsafe Backup Service"
10.1.37.120	"SQLsafe Filter Service"
10.1.37.120	SQLSafeOLRService
10.1.37.120	MSSQLSERVER
10.1.37.120	SQLSERVERAGENT
10.1.37.120	SQLWriter
DCESRVHDB302	
10.1.37.121	"SQLsafe Backup Service"
10.1.37.121	"SQLsafe Filter Service"
10.1.37.121	SQLSafeOLRService
10.1.37.121	MSSQLSERVER
10.1.37.121	SQLSERVERAGENT
10.1.37.121	SQLWriter
