BCRSRVDIS301	
10.192.12.240	"CIS FM Security Service"
10.192.12.240	"CIS FMDB Messenger Service"
10.192.12.240	"CIS FMDB PDA Service"
10.192.12.240	"CIS FMDB TIMS Service"
10.192.12.240	"CIS TIMS Security Service"
10.192.12.240	MSSQLSERVER
10.192.12.240	SQLSERVERAGENT
10.192.12.240	SQLTELEMETRY
10.192.12.240	SQLWriter
10.192.12.240	"XML Export Service"
BCRSRVMEI301	
10.192.0.72	EasiTraxService
10.192.0.72	MSSQL$SQLEXPRESS
10.192.0.72	SQLBrowser
10.192.0.72	SQLWriter
BCRSRVMEI301 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.192.0.72	W3SVC
10.192.0.72	WAS
BCRSRVCIS301	
10.192.5.67	Apache2.4
10.192.5.67	Tomcat8
10.192.5.67	MSSQLSERVER
10.192.5.67	SQLSERVERAGENT
10.192.5.67	SQLTELEMETRY
10.192.5.67	SQLWriter
ICRSRVCIS301	
10.193.163.2	Apache2.4
10.193.163.2	Tomcat8
10.193.163.2	MSSQLSERVER
10.193.163.2	SQLSERVERAGENT
10.193.163.2	SQLTELEMETRY
10.193.163.2	SQLWriter
BCRSRVOWAP201	
10.192.58.51	Bally Game Manager Client Report Scheduling Service
10.192.58.51	Bally Game Manager Client Service
10.192.58.51	Bally Remote Logging Service
10.192.58.51	MSSQLSERVER
10.192.58.51	SQLSERVERAGENT
10.192.58.51	SQLTELEMETRY
10.192.58.51	MsDtsServer130
10.192.58.51	SSISTELEMETRY130
10.192.58.51	ReportServer
10.192.58.51	SQLWriter
BCRSRVOWAP201 IIS - TO STOP GO TOP-DOWN. TO START GO BOTTOM-UP	
10.192.58.51	W3SVC
10.192.58.51	WAS
