DCRSRVDIS301	
10.1.36.240	"CIS FM Security Service"
10.1.36.240	"CIS FMDB Import Service"
10.1.36.240	"CIS FMDB Messenger Service"
10.1.36.240	"CIS FMDB PDA Service"
10.1.36.240	"CIS FMDB TIMS Service"
10.1.36.240	"CIS TIMS Security Service"
10.1.36.240	MSSQLSERVER
10.1.36.240	SQLSERVERAGENT
10.1.36.240	SQLTELEMETRY
10.1.36.240	SQLWriter
10.1.36.240	"XML Export Service"
DCRSRVMEI301	
10.1.36.70	AppHostSvc
10.1.36.70	DynaLog
10.1.36.70	EasiTraxService
10.1.36.70	MSSQL$SQLEXPRESS
10.1.36.70	SQLBrowser
10.1.36.70	SQLWriter
DCRSRVMEI301 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.1.36.70	W3SVC
10.1.36.70	WAS
DCRSRVCIS301	
10.1.160.62	Tomcat8
10.1.160.62	Apache2.4
10.1.160.62	MSSQLSERVER
10.1.160.62	SQLSERVERAGENT
10.1.160.62	SQLTELEMETRY
10.1.160.62	SQLWriter
DCRSRVCIS302	
10.1.160.60	Tomcat6
10.1.160.60	Apache2.2
10.1.160.60	MSSQLSERVER
10.1.160.60	SQLSERVERAGENT
10.1.160.60	SQLTELEMETRY
10.1.160.60	SQLWriter
DCRSRVBPS201	
10.1.36.57	"BPSConnect Dashboard"
10.1.36.57	"BPSConnect Import"
10.1.36.57	"BPSConnect Parser"
10.1.36.57	"SQLsafe Backup Service"
10.1.36.57	"SQLsafe Filter Service"
10.1.36.57	SQLSafeOLRService
10.1.36.57	MSSQLSERVER
10.1.36.57	SQLSERVERAGENT
10.1.36.57	SQLTELEMETRY
10.1.36.57	ReportServer
10.1.36.57	SQLWriter
DCRSRVOWAP201	
10.1.246.195	ShuffleMaster.Progressive.GM.MeterQuery.exe
10.1.246.195	ShuffleMaster.Progressive.GM.PrintReportsService.exe
10.1.246.195	SHFL.Progressive.GameManager.Client.Service.exe
10.1.246.195	BallyTech.Progressive.LoggingService.exe
10.1.246.195	ServiceMonitor.exe
10.1.246.195	MSSQLSERVER
10.1.246.195	SQLSERVERAGENT
10.1.246.195	SQLTELEMETRY
10.1.246.195	MsDtsServer130
10.1.246.195	SSISTELEMETRY130
10.1.246.195	ReportServer
10.1.246.195	SQLWriter
DCRSRVOWAP201 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.1.246.195	W3SVC
10.1.246.195	WAS
DCRSRVOWAPMC201	
10.1.246.123	SHFL.Progressive.GameManager.Server.Service.exe
10.1.246.123	ShuffleMaster.Progressive.OWAP2.EmailPrintReportsService.exe
10.1.246.123	ShuffleMaster.Progressive.OWAP2.Updater.exe
10.1.246.123	ServiceMonitor.exe
10.1.246.123	MSSQLSERVER
10.1.246.123	SQLSERVERAGENT
10.1.246.123	SQLTELEMETRY
10.1.246.123	MsDtsServer130
10.1.246.123	SSISTELEMETRY130
10.1.246.123	ReportServer
10.1.246.123	SQLWriter
DCRSRVOWAPMC201 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.1.246.123	W3SVC
10.1.246.123	WAS
