DTPSRVDIS301	
10.1.34.45	"CIS FM Security Service"
10.1.34.45	"CIS FMDB Messenger Service"
10.1.34.45	"CIS FMDB PDA Service"
10.1.34.45	"CIS FMDB TIMS Service"
10.1.34.45	"CIS TIMS Security Service"
10.1.34.45	MSSQLSERVER
10.1.34.45	SQLSERVERAGENT
10.1.34.45	SQLTELEMETRY
10.1.34.45	SQLWriter
10.1.34.45	"XML Export Service"
DTPSRVMEI301	
10.1.34.31	EasiTraxService
10.1.34.31	MSSQL$SQLEXPRESS
10.1.34.31	SQLBrowser
10.1.34.31	SQLWriter
DTPSRVMEI301 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.1.34.31	W3SVC
10.1.34.31	WAS
