GCRSRVDIS301	
10.194.152.140	"CIS FM Security Service"
10.194.152.140	"CIS FMDB Messenger Service"
10.194.152.140	"CIS FMDB PDA Service"
10.194.152.140	"CIS FMDB TIMS Service"
10.194.152.140	"CIS TIMS Security Service"
10.194.152.140	MSSQLSERVER
10.194.152.140	SQLSERVERAGENT
10.194.152.140	SQLTELEMETRY
10.194.152.140	SQLWriter
10.194.152.140	"XML Export Service"
GCRSRVMEI301	
10.194.128.72	EasiTraxService
10.194.128.72	MSSQL$SQLEXPRESS
10.194.128.72	SQLBrowser
10.194.128.72	SQLWriter
GCRSRVMEI301 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.194.128.72	W3SVC
10.194.128.72	WAS
GCRSRVOWAP201	
10.194.252.51	BallyTech.Progressive.LoggingService.exe 
10.194.252.51	SHFL.Progressive.GameManager.Client.Service.exe
10.194.252.51	ShuffleMaster.Progressive.GM.PrintReportsService.exe
10.194.252.51	MSSQLSERVER
10.194.252.51	SQLSERVERAGENT
10.194.252.51	SQLTELEMETRY
10.194.252.51	MsDtsServer130
10.194.252.51	SSISTELEMETRY130
10.194.252.51	ReportServer
10.194.252.51	SQLWriter
GCRSRVOWAP201 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.194.252.51	W3SVC
10.194.252.51	WAS
