MCRSRVDIS301	
10.194.10.240	"CIS FM Security Service"
10.194.10.240	"CIS FMDB Messenger Service"
10.194.10.240	"CIS FMDB PDA Service"
10.194.10.240	"CIS FMDB TIMS Service"
10.194.10.240	"CIS TIMS Security Service"
10.194.10.240	MSSQLSERVER
10.194.10.240	SQLSERVERAGENT
10.194.10.240	SQLTELEMETRY
10.194.10.240	SQLWriter
10.194.10.240	"XML Export Service"
MCRSRVMEI301	
10.194.0.21	EasiTraxService
10.194.0.21	MSSQL$SQLEXPRESS
10.194.0.21	SQLBrowser
10.194.0.21	SQLWriter
MCRSRVMEI301 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.194.0.21	W3SVC
10.194.0.21	WAS
MCRSRVOWAP201	
10.194.60.51	Bally Game Manager Client Report Scheduling Service
10.194.60.51	Bally Game Manager Client Service
10.194.60.51	Bally Remote Logging Service
10.194.60.51	MSSQLSERVER
10.194.60.51	SQLSERVERAGENT
10.194.60.51	SQLTELEMETRY
10.194.60.51	MsDtsServer130
10.194.60.51	SSISTELEMETRY130
10.194.60.51	ReportServer
10.194.60.51	SQLWriter
MCRSRVOWAP201 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.194.60.51	W3SVC
10.194.60.51	WAS
