PTPSRVDIS301	
10.193.69.240	"CIS FM Security Service"
10.193.69.240	"CIS FMDB Messenger Service"
10.193.69.240	"CIS FMDB TIMS Service"
10.193.69.240	"CIS TIMS Security Service"
10.193.69.240	MSSQLSERVER
10.193.69.240	SQLSERVERAGENT
10.193.69.240	SQLTELEMETRY
10.193.69.240	SQLWriter
10.193.69.240	"XML Export Service"
PTPSRVMEI301	
10.193.68.22	EasiTraxService
10.193.68.22	MSSQL$SQLEXPRESS
10.193.68.22	SQLBrowser
10.193.68.22	SQLWriter
PTPSRVMEI301 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.193.68.22	W3SVC
10.193.68.22	WAS
