GCRSRVDIS301	
10.194.152.140	"CIS FM Security Service"
10.194.152.140	"CIS FMDB Messenger Service"
10.194.152.140	"CIS FMDB PDA Service"
10.194.152.140	"CIS FMDB TIMS Service"
10.194.152.140	"CIS TIMS Security Service"
10.194.152.140	MSSQLSERVER
10.194.152.140	SQLSERVERAGENT
10.194.152.140	SQLTELEMETRY
10.194.152.140	SQLWriter
10.194.152.140	"XML Export Service"
GCRSRVMEI301	
10.194.128.72	AppHostSvc
10.194.128.72	EasiTraxService
10.194.128.72	MSSQL$SQLEXPRESS
10.194.128.72	SQLBrowser
10.194.128.72	SQLWriter
GCRSRVMEI201	
10.194.128.70	DynaLog
10.194.128.70	MSSQL$SQLEXPRESS
10.194.128.70	SQLBrowser
10.194.128.70	SQLWriter
GCRSRVOWAP201	
10.194.252.51	AppHostSvc
10.194.252.51	Bally Game Manager Client Report Scheduling Service
10.194.252.51	Bally Game Manager Client Service
10.194.252.51	Bally Remote Logging Service
10.194.252.51	MSSQLSERVER
10.194.252.51	SQLSERVERAGENT
10.194.252.51	SQLTELEMETRY
10.194.252.51	MsDtsServer130
10.194.252.51	SSISTELEMETRY130
10.194.252.51	ReportServer
10.194.252.51	SQLWriter
